Region,Fresh Cut Flowers
Kunming,10118
Qujing,1108
Yuxi,2105
Baoshan,1
Zhaotong,45
Lijiang,19
Pu'er,27
Lincang,1
Chuxiong,3046
Honghe,966
Wenshan,5
Xishuangbanna,17
Dali,29
Dehong,1
Nujiang,1
Diqing,0
